name,url,type_,image_url,image_path,effects,interactions
The Sad Onion,https://bindingofisaacrebirth.fandom.com//wiki/The_Sad_Onion,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e0/Collectible_The_Sad_Onion_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040114,data/images/The Sad Onion.png,,
The Inner Eye,https://bindingofisaacrebirth.fandom.com//wiki/The_Inner_Eye,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/45/Collectible_The_Inner_Eye_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044823,data/images/The Inner Eye.png,,
Spoon Bender,https://bindingofisaacrebirth.fandom.com//wiki/Spoon_Bender,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/15/Collectible_Spoon_Bender_icon.png/revision/latest/scale-to-width-down/48?cb=20210821042718,data/images/Spoon Bender.png,,
Cricket's Head,https://bindingofisaacrebirth.fandom.com//wiki/Cricket%27s_Head,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7f/Collectible_Cricket%27s_Head_icon.png/revision/latest/scale-to-width-down/48?cb=20210822082454,data/images/Cricket's Head.png,,
My Reflection,https://bindingofisaacrebirth.fandom.com//wiki/My_Reflection,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/de/Collectible_My_Reflection_icon.png/revision/latest/scale-to-width-down/48?cb=20210821054202,data/images/My Reflection.png,,
Number One,https://bindingofisaacrebirth.fandom.com//wiki/Number_One,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d6/Collectible_Number_One_icon.png/revision/latest/scale-to-width-down/48?cb=20210821055946,data/images/Number One.png,,
Blood of the Martyr,https://bindingofisaacrebirth.fandom.com//wiki/Blood_of_the_Martyr,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/19/Collectible_Blood_of_the_Martyr_icon.png/revision/latest/scale-to-width-down/48?cb=20210821050458,data/images/Blood of the Martyr.png,,
Brother Bobby,https://bindingofisaacrebirth.fandom.com//wiki/Brother_Bobby,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/9b/Collectible_Brother_Bobby_icon.png/revision/latest/scale-to-width-down/48?cb=20210822082522,data/images/Brother Bobby.png,,
Skatole,https://bindingofisaacrebirth.fandom.com//wiki/Skatole,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/58/Collectible_Skatole_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043936,data/images/Skatole.png,,
Halo of Flies,https://bindingofisaacrebirth.fandom.com//wiki/Halo_of_Flies,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d7/Collectible_Halo_of_Flies_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044005,data/images/Halo of Flies.png,,
1up!,https://bindingofisaacrebirth.fandom.com//wiki/1up!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/98/Collectible_1up%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210821081959,data/images/1up!.png,,
Magic Mushroom,https://bindingofisaacrebirth.fandom.com//wiki/Magic_Mushroom,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Magic_Mushroom_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052235,data/images/Magic Mushroom.png,,
The Virus,https://bindingofisaacrebirth.fandom.com//wiki/The_Virus,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/0d/Collectible_The_Virus_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044155,data/images/The Virus.png,,
Roid Rage,https://bindingofisaacrebirth.fandom.com//wiki/Roid_Rage,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e6/Collectible_Roid_Rage_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044114,data/images/Roid Rage.png,,
Less Than Three,https://bindingofisaacrebirth.fandom.com//wiki/Less_Than_Three,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/22/Collectible_Less_Than_Three_icon.png/revision/latest/scale-to-width-down/48?cb=20210822082553,data/images/Less Than Three.png,,
Raw Liver,https://bindingofisaacrebirth.fandom.com//wiki/Raw_Liver,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fd/Collectible_Raw_Liver_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043509,data/images/Raw Liver.png,,
Skeleton Key,https://bindingofisaacrebirth.fandom.com//wiki/Skeleton_Key,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/31/Collectible_Skeleton_Key_icon.png/revision/latest/scale-to-width-down/48?cb=20210821081929,data/images/Skeleton Key.png,,
A Dollar,https://bindingofisaacrebirth.fandom.com//wiki/A_Dollar,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/be/Collectible_A_Dollar_icon.png/revision/latest/scale-to-width-down/48?cb=20210821061555,data/images/A Dollar.png,,
Boom!,https://bindingofisaacrebirth.fandom.com//wiki/Boom!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f7/Collectible_Boom%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044036,data/images/Boom!.png,,
Transcendence,https://bindingofisaacrebirth.fandom.com//wiki/Transcendence,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ec/Collectible_Transcendence_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040640,data/images/Transcendence.png,,
The Compass,https://bindingofisaacrebirth.fandom.com//wiki/The_Compass,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/da/Collectible_The_Compass_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044228,data/images/The Compass.png,,
Lunch,https://bindingofisaacrebirth.fandom.com//wiki/Lunch,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_Lunch_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052414,data/images/Lunch.png,,
Dinner,https://bindingofisaacrebirth.fandom.com//wiki/Dinner,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e2/Collectible_Dinner_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052343,data/images/Dinner.png,,
Dessert,https://bindingofisaacrebirth.fandom.com//wiki/Dessert,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e8/Collectible_Dessert_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043118,data/images/Dessert.png,,
